"postcode_district","author","loan_count"
"M1","Donaldson, Julia","122"
"M11","Hunt, Roderick, 1939-","320"
"M12","Hunt, Roderick, 1939-","402"
"M13","Hunt, Roderick, 1939-","395"
"M14","Hunt, Roderick, 1939-","638"
"M15","Donaldson, Julia","300"
"M16","Hunt, Roderick, 1939-","728"
"M17","Holowaty, Lauren","47"
"M18","Hunt, Roderick, 1939-","542"
"M19","Donaldson, Julia","838"
"M2","Manzoor-Khan, Suhaiymah","28"
"M20","Donaldson, Julia","1466"
"M21","Donaldson, Julia","1015"
"M22","Hunt, Roderick, 1939-","1023"
"M23","Hunt, Roderick, 1939-","1007"
"M24","Kenyon, Sherrilyn, 1965-","71"
"M25","Hunt, Roderick, 1939-","90"
"M27","Patterson, James, 1947-","28"
"M29","Patterson, James, 1947-","24"
"M3","Hunt, Roderick, 1939-","129"
"M31","Hunt, Roderick, 1939-","26"
"M32","Hunt, Roderick, 1939-","148"
"M33","Hunt, Roderick, 1939-","273"
"M34","Patterson, James, 1947-","38"
"M35","Fletcher, Carrie Hope","29"
"M38","Hunt, Roderick, 1939-","41"
"M4","Hunt, Roderick, 1939-","249"
"M40","Hunt, Roderick, 1939-","586"
"M41","Donaldson, Julia","57"
"M43","Cartwright, Jack","83"
"M5","Ni Kuang","71"
"M50","Hunt, Roderick, 1939-","38"
"M7","Blade, Adam","48"
"M8","Hunt, Roderick, 1939-","583"
"M9","Hunt, Roderick, 1939-","738"
